customer_id,total_bookings,cancel_rate,mean_lead_time,mean_adr,total_revenue,avg_stay_nights,total_guests,special_requests_mean,booking_changes_mean,used_promo_rate,repeated_rate,previous_cancel_mean,previous_success_mean,deposit_type_mode,customer_type_mode,recency_days,avg_spent_per_booking,freq_per_month,loyalty_index,engagement_score
ABW_15.0_Online TA,1,0.0,45.0,157.68,630.72,4.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0,2,440,630.72,0.06818181818181819,0.0,3.0
ABW_9.0_Online TA,1,0.0,207.0,99.0,297.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0,2,129,297.0,0.23255813953488372,0.0,2.0
AGO_128.0_Offline TA/TO,1,0.0,4.0,90.43,1266.02,14.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,2,229,1266.02,0.13100436681222707,0.0,2.0
AGO_14.0_Direct,51,0.7843137254901961,20.431372549019606,144.2453215686275,72317.52610000003,9.254901960784315,1.5294117647058822,0.0784313725490196,0.19607843137254902,0.0,0.058823529411764705,0.0,0.058823529411764705,0,2,78,1417.990707843138,19.615384615384613,0.06593406593406594,0.27450980392156865
AGO_152.0_Online TA,1,0.0,0.0,54.31,54.31,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0,2,655,54.31,0.04580152671755725,0.0,2.0
AGO_171.0_Groups,1,0.0,29.0,65.0,195.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,236,195.0,0.1271186440677966,0.0,0.0
AGO_216.0_Corporate,1,0.0,26.0,99.2,198.4,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2,531,198.4,0.05649717514124294,0.0,1.0
AGO_240.0_Online TA,11,0.45454545454545453,50.72727272727273,188.8290909090909,8898.47,3.8181818181818183,2.6363636363636362,1.1818181818181819,0.36363636363636365,1.0,0.0,0.0,0.0,0,2,32,808.9518181818181,10.3125,0.0,2.5454545454545454
AGO_250.0_Direct,2,0.0,1.0,114.0,346.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,150,173.0,0.4,0.0,0.0
AGO_294.0_Offline TA/TO,1,0.0,12.0,110.0,1980.0,18.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0,2,349,1980.0,0.08595988538681949,0.0,3.0
AGO_71.0_Corporate,1,0.0,0.0,95.67,669.69,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,657,669.69,0.04566210045662101,0.0,2.0
AGO_9.0_Online TA,182,0.7802197802197802,33.8021978021978,115.95088681318683,209832.844,10.5,1.9725274725274726,0.554945054945055,0.25274725274725274,1.0,0.02197802197802198,0.06043956043956044,0.07142857142857142,0,2,23,1152.9277142857143,237.39130434782606,0.05246913580246914,1.8076923076923077
AGO_95.0_Corporate,2,0.0,11.0,100.0,1000.0,5.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0,3,699,500.0,0.08583690987124463,0.0,0.5
AGO_NoAgent_Complementary,5,0.0,2.0,0.0,0.0,3.6,1.4,0.4,0.2,0.0,0.0,0.0,0.0,0,2,303,0.0,0.49504950495049505,0.0,0.6000000000000001
AGO_NoAgent_Corporate,3,0.0,0.3333333333333333,116.33333333333333,1014.0,3.3333333333333335,1.0,1.3333333333333333,1.6666666666666667,0.0,0.0,0.0,0.0,0,2,299,338.0,0.3010033444816054,0.0,3.0
AGO_NoAgent_Direct,70,0.08571428571428572,3.657142857142857,106.15658142857144,27333.6407,3.8,1.6857142857142857,0.5428571428571428,0.7428571428571429,0.0,0.14285714285714285,0.04285714285714286,0.18571428571428572,0,2,21,390.48058142857144,100.0,0.3026315789473684,1.2857142857142856
AGO_NoAgent_Offline TA/TO,3,0.0,3.0,62.776666666666664,744.99,4.0,1.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.3333333333333333,0,2,186,248.33,0.48387096774193544,0.3333333333333333,1.3333333333333333
AGO_NoAgent_Online TA,7,0.0,7.142857142857143,114.83428571428571,4357.08,5.285714285714286,1.8571428571428572,1.4285714285714286,1.0,1.0,0.14285714285714285,0.0,0.2857142857142857,0,2,126,622.4399999999999,1.6666666666666665,0.42857142857142855,3.428571428571429
AIA_8.0_Online TA,1,0.0,0.0,261.6207000000011,1046.4828000000043,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2,429,1046.4828000000043,0.06993006993006992,0.0,1.0
ALB_14.0_Direct,2,0.0,65.5,72.545,527.78,3.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,283,263.89,0.21201413427561838,0.0,0.0
ALB_156.0_Offline TA/TO,1,0.0,40.0,35.15,105.45,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,2,547,105.45,0.054844606946983544,0.0,2.0
ALB_171.0_Groups,1,0.0,29.0,65.0,260.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,3,235,260.0,0.12765957446808512,0.0,1.0
ALB_177.0_Offline TA/TO,1,0.0,28.0,107.0,428.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,779,428.0,0.038510911424903725,0.0,0.0
